Episode no = 9600; won: False; iter_time_steps = 68; Q(s,a) = 185.37736707932842; score = -77.0; mean_score/100_episodes = -71.36; reward = -28.0; mean_reward/100_episodes = -76.21; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 07:39:50
Episode no = 9700; won: False; iter_time_steps = 33; Q(s,a) = 184.81756741294814; score = -262.0; mean_score/100_episodes = -64.53; reward = -235.0; mean_reward/100_episodes = -62.8; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:41:16
Episode no = 9800; won: False; iter_time_steps = 54; Q(s,a) = 184.0349877409175; score = -93.0; mean_score/100_episodes = -59.57; reward = -36.0; mean_reward/100_episodes = -67.37; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 07:42:35
Episode no = 9900; won: False; iter_time_steps = 61; Q(s,a) = 184.54914048201863; score = -80.0; mean_score/100_episodes = -93.11; reward = -32.0; mean_reward/100_episodes = -86.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:43:59
Episode no = 10000; won: False; iter_time_steps = 246; Q(s,a) = 184.71255637625316; score = 175.0; mean_score/100_episodes = -99.21; reward = 267.0; mean_reward/100_episodes = -86.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:45:26
Episode no = 10100; won: False; iter_time_steps = 61; Q(s,a) = 186.26062895966726; score = -70.0; mean_score/100_episodes = -70.64; reward = -21.0; mean_reward/100_episodes = -79.44; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 07:46:44
Episode no = 10200; won: False; iter_time_steps = 45; Q(s,a) = 186.83226309428; score = -164.0; mean_score/100_episodes = 21.82; reward = -126.0; mean_reward/100_episodes = 9.56; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 07:48:27
Episode no = 10300; won: False; iter_time_steps = 58; Q(s,a) = 186.5784094494831; score = -87.0; mean_score/100_episodes = -49.89; reward = -40.0; mean_reward/100_episodes = -50.12; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:49:51
Episode no = 10400; won: False; iter_time_steps = 35; Q(s,a) = 187.73459050696889; score = -244.0; mean_score/100_episodes = -20.13; reward = -215.0; mean_reward/100_episodes = -22.48; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:51:22
Episode no = 10500; won: False; iter_time_steps = 199; Q(s,a) = 187.33629619541094; score = 642.0; mean_score/100_episodes = 40.65; reward = 438.0; mean_reward/100_episodes = 7.55; and epsilon = 0.1, win percentage = 0.03, 2024-11-29 07:52:55
Episode no = 10600; won: False; iter_time_steps = 34; Q(s,a) = 187.528880240421; score = -223.0; mean_score/100_episodes = -31.16; reward = -181.0; mean_reward/100_episodes = -38.41; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:54:28
Episode no = 10700; won: False; iter_time_steps = 36; Q(s,a) = 187.5262212085859; score = -205.0; mean_score/100_episodes = -49.6; reward = -172.0; mean_reward/100_episodes = -43.2; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:56:02
Episode no = 10800; won: False; iter_time_steps = 86; Q(s,a) = 187.93718855385114; score = 485.0; mean_score/100_episodes = -64.35; reward = 232.0; mean_reward/100_episodes = -61.82; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:57:23
Episode no = 10900; won: False; iter_time_steps = 49; Q(s,a) = 188.3018411002848; score = -168.0; mean_score/100_episodes = -35.31; reward = -130.0; mean_reward/100_episodes = -40.2; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 07:58:50
Episode no = 11000; won: False; iter_time_steps = 11; Q(s,a) = 188.5249850174208; score = -430.0; mean_score/100_episodes = -44.31; reward = -422.0; mean_reward/100_episodes = -45.27; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 08:00:14
